WAST,Sx,DP,Dta,Dts,EV,QNH,QFE,QFF,RF,RH,S,SR,T,ST1,ST2,ST3,ST4
1/03/2015 9:30,10,10.2,122,20,0.1,1011,1007.4,1010.8,0,41.7,7,715,24.09,28,28.7,29.3,28.5
2/03/2015 20:00,15,10.1,125,23,0,1016.2,1012.6,1016,0,45,8,9,22.64,31.5,29.4,28.9,28.4
4/03/2015 13:20,12,6.7,112,25,0.2,1019.7,1016.1,1019.5,0,21.2,7,1003,31.55,28.8,28.1,28.7,28.3
7/03/2015 4:40,10,10.1,99,15,0,1017.3,1013.7,1017.2,0,51.3,7,20,20.5,29.7,29.7,29.2,28.3
8/03/2015 7:10,6,10.4,147,21,0,1018,1014.4,1017.9,0,54.7,4,184,19.82,28.8,29.3,29.1,28.3
8/03/2015 7:10,9,10,130,20,0.1,1018.1,1014.5,1018,0,51.4,6,264,20.41,28.7,29.2,29.1,28.3
8/03/2015 7:20,7,10.3,139,16,0,1017.9,1014.3,1017.8,0,53,5,228,,28.8,29.3,29.1,28.3
8/03/2015 17:40,10,13.2,225,30,0,1015.6,1012,1015.4,0,48.9,6,199,24.76,32.1,29,28.8,28.3
26/01/2016 15:00,16,15.7,227,37,0.1,1010.8,1007.2,1010.5,0,41.3,7,892,30.41,32.9,29.7,28.9,27.4
26/01/2016 15:10,13,15.4,232,32,0.2,1010.8,1007.2,1010.5,0,41.2,8,535,30.07,33,29.7,28.9,27.4
26/01/2016 15:20,14,15.7,202,94,0.1,1010.7,1007.1,1010.4,0,45.3,7,485,28.72,33.2,29.8,28.9,27.4
